Movie Name,Song Name,Music Director,Actor Name,Actress Name,Filename
Yaan,Aathangara Oraththil Lyrics Yaan Song Lyrics,Harrish Jeyaraj,Jiiva,Thulasi Nair,aathangara-oraththil-lyrics-yaan-song.json
Kaththi,Aathi Ena Nee English Meaning Lyrics Kaththi Song Lyrics,N/A,Vijay,Samantha Ruth Prabhu,aathi-ena-nee-english-meaning-lyrics.json
Kaththi,Aathi Ena Nee Lyrics Kaththi Song Lyrics,Anirudh,Vijay,Samantha Ruth Prabhu,aathi-ena-nee-lyrics-kaththi-song-lyrics.json
TN 07 AL 4777,Aathichudi Lyrics TN 07 AL 4777 Song Lyrics,Vijay Antony,Pasupathy,Simran,aathichudi-lyrics-tn-07-al-4777-song.json
Thaarai Thappattai,Aattakkari Maman Ponnu Lyrics Tharai Thappattai Song Lyrics,Ilaiyaraaja,Sasikumar,Varalaxmi Sarathkumar,aattakkari-maman-ponnu-lyrics-thaarai.json
Rajini Murugan,Aavi Parakkum Teakadai Lyrics Rajini Murugan Song Lyrics,D Imman,Sivakarthikeyan,Keerthy Suresh,aavi-parakkum-teakadai-lyrics-rajini.json
Vizhithru,Aazhi Alai Lyrics Vizhithru,Sathyan Mahalingam,Krishna,Venba,aazhi-alai-lyrics-vizhithru.json
Moodar Koodam,ABCD Ungappan Dhadi Lyrics Moodar Koodam Lyrics,Natarajan Shankaran,Naveen,Oviya,abcd-ungappan-dhadi-lyrics-moodar.json
Shahjahan,Achacho Punnagai Song Lyrics Shahjahan,Mani Sharma,Vijay,Richa Pallod,achacho-punnagai-song-lyrics-shahjahan.json
Bagavathi,Achamillai Achamillai Maname Song Lyrics Bagavathi,Deva,,,achamillai-achamillai-maname-song.json
Pathinaaru,Ada Da En Meethu Lyrics Pathinaaru Songs Lyrics,Yuvan,Shiva,Meera Jasmine,ada-da-en-meethu-lyrics-pathinaaru.json
N/A,Adada Adada Lyrics Veera Sivaji Song Lyrics,D Imman,,,adada-adada-lyrics-veera-sivaji-song.json
Enai Nokki Paayum Thotta,Adada Naana Lyrics in Tamil,Darbuka Siva,Dhanush,Megha Akash,adada-naana-lyrics-enpt.json
Oru Kal Oru Kannadi,Adada Oru Lyrics OK Ok Lyrics,Harrish Jeyaraj,Udhayani dhi Stalin,Hansika Motwani,adada-oru-lyrics-ok-ok-lyrics.json
Sarvam,Adada Vaa Asaththalam  Lyrics Sarvam Song Lyrics,Yuvan,Arya,Trisha,adada-vaa-asaththalam-lyrics-sarvam.json
Santhosh Subramaniam,Adadaa Adadaa Adada Lyrics Santhosh Subramaniam,Devi Sri Prasad(DSP),Jayam Ravi,Genelia,adadaa-adadaa-adada-lyrics-santhosh.json
Thodari,Adadaa Ithuyenna Lyrics Thodari Song Lyrics,D Imman,Dhanush,Keerthy Suresh,adadaa-ithuyenna-lyrics-thodari-song.json
Arrambam,Adadada Arrambame Lyrics Arrambam Song Lyrics,Yuvan,Ajith Kumar,Nayanthara,adadada-arrambame-lyrics-arrambam-song.json
Yennai Arindhaal,Adhaaru Adhaaru Lyrics Yennai Arindhaal Song Lyrics,Harrish Jeyaraj,Ajith Kumar,Trisha,adhaaru-adhaaru-lyrics-yennai-arindhaal.json
Thandavam,Adhigaalai Pookal Lyrics Thandavam Songs Lyrics,GV PrakashKumar,Vikram,Anushka Shetty,adhigaalai-pookal-lyrics-thandavam.json
N/A,Adi Maane Song Lyrics Athangudi Ilayaraja,N/A,,,adi-maane-song-lyrics-athangudi.json
Magalir Mattum 2017,Adi Vaadi Thimiraa Lyrics Magalir Mattum(2017),M Ghibran,Jyothika,Bhanupriya,adi-vaadi-thimiraa-lyrics-magalir.json
Kadaikutty Singam,Adi Vellakara Velayi Song Lyrics in Tamil,D Imman,Karthi,Sayyeshaa,adi-vellakara-velayi-song-lyrics-in.json
Viswasam,Adichu Thooku Song Lyrics From Viswasam,N/A,Ajith Kumar,Nayanthara,adichu-thooku-song-lyrics-from-viswasam.json
Gethu,Adiyae Adiyae Lyrics Gethu Song Lyrics,Harrish Jeyaraj,Udhayanidhi Stalin,Amy Jackson,adiyae-adiyae-lyrics-gethu-song-lyrics.json
Oru Naal Koothu,Adiyae Azhagae Lyrics Oru Naal Koothu Song Lyrics,Justin Prabhakaran,Dinesh,Nivetha Pethuraj,adiyae-azhagae-lyrics-oru-naal-koothu.json
Romeo Juliet,Adiyae Ivalaey Lyrics Romeo Juliet Song Lyrics,N/A,Jayam Ravi,Hansika Motwani,adiyae-ivalaey-lyrics-romeo-juliet-song.json
Rummy,Adiye Enna Raagam Lyrics Rummy Song Lyrics,D Imman,Vijay Sethupathi,Jai,adiye-enna-raagam-lyrics-rummy-song.json
Vaaranam Aayiram,Adiye Kolluthe Lyrics Vaaranam Aayiram,Harrish Jeyaraj,Suriya,Sameera Reddy,adiye-kolluthe-lyrics-vaaranam-aayiram.json
Kadal,Adiye Lyrics in Tamil Kadal,AR Rahman,Gautham Karthik,Thulasi Nair,adiye-lyrics-in-tamil-kadal.json
Kadal,Adiye Lyrics Kadal Songs Lyrics,AR Rahman,Gautham Karthik,Thulasi Nair,adiye-lyrics-kadal-songs-lyrics.json
N/A,Adiye Podi Pacha Siriki Lyrics Gana Sudhakar,N/A,,,adiye-podi-pacha-siriki-lyrics-gaana.json
Vetrivel,Adiye Unna Paathida Lyrics Vetrivel,D Imman,Sasikumar,Mia George,adiye-unna-paathida-lyrics-vetrivel.json
Rendavudhu Padam,Adutha Paruppu Lyrics Rendavudhu Padam Lyrics,Kannan,Vimal,Vijayalakshmi,adutha-paruppu-lyrics-rendavudhu-padam.json
Naiyaandi,Ae Le Le Etti Paarthale Lyrics Naiyaandi Song Lyrics,M Ghibran,Dhanush,Nazriya Nazim,ae-le-le-etti-paarthale-lyrics.json
Aanai,Aei Idupattum Song Lyrics Aanai,D Imman,Arjun,Namitha,aei-idupattum-song-lyrics-aanai.json
Vanmham,Aetti Enga Pora Lyrics Vanmham Song Lyrics,Thaman S,Krishna,Sunaina,aetti-enga-pora-lyrics-vanmham-song.json
Inam,Aezhu kurukku rendu nadukku Lyrics Inam Song Lyrics,Vishal C,Nasser,Akhil,aezhu-kurukku-rendu-nadukku-lyrics-inam.json
Ko,Aga Naga Naga lyrics Ko Songs lyrics,Harrish Jeyaraj,Jiiva,Karthika Nair,aga-naga-naga-lyrics-ko-songs-lyrics.json
Aadhi Bhagavan,Agadam Bagadam Lyrics Aadhi Bhagavan Songs Lyrics,Yuvan,Jay am Ravi,Neetu Chandra,agadam-bagadam-lyrics-aadhi-bhagavan.json
Settai,Agalaadhe Agalathey Lyrics Settai Songs Lyrics,Thaman S,Arya,Hansika Motwani,agalaadhe-agalathey-lyrics-settai-songs.json
N/A,Agalathey Song Lyrics in Tamil,Yuvan,,,agalathey-song-lyrics.json
Cuckoo,Agasatha Lyrics Cuckoo Song Lyrics,Santhosh Narayanan,Dinesh,Malavika Nair,agasatha-lyrics-cuckoo-song-lyrics.json
Madras,Agayam Theepidicha Lyrics Madras Song Lyrics,Santhosh Narayanan,Karthi,Catherine Tresa,agayam-theepidicha-lyrics-madras-song.json
Jithan,Ah Mudhal Akku Song Lyrics Jithan,Srikanth Deva,Ramesh Choudary,Pooja,ah-mudhal-akku-song-lyrics-jithan.json
I,Aila Aila Lyrics I Song Lyrics,AR Rahman,Vikram,Amy Jackson,aila-aila-lyrics-i-song-lyrics.json
Vanakkam Chennai,Ailasa Ailasa Lyrics Vanakkam Chennai Song Lyrics,Anirudh,Shiva,Priya Anand,ailasa-ailasa-lyrics-vanakkam-chennai.json
Poda Podi,Aiyyayo Maattikittenae Lyrics Podaa Podi Songs Lyrics,Dharan Kumar,Silambarasan,Varalaxmi Sarathkumar,aiyyayo-maattikittenae-lyrics-podaa.json
Vettai,Akka Ketha Mappulla Lyrics Vettai,Yuvan,Arya,Sameera Reddy,akka-ketha-mappulla-lyrics-vettai.json
Kreedam,Akkam Pakkam Lyrics Kreedam,GV PrakashKumar,Ajmal,Sreeram,akkam-pakkam-lyrics-kreedam.json
Kadhalum Kadandhu Pogum,Akkam Pakkam Paar Lyrics Kadhalum Kadandhu Pogum Song Lyrics,Santhosh Narayanan,Vijay Sethupathi,Madonna Sebastian,akkam-pakkam-paar-lyrics-kadhalum.json
Thuppaki,Alaikaa Laikka Lyrics Thuppakki Songs Lyrics,Harrish Jeyaraj,Vijay,Kajal Aggarwal,alaikaa-laikka-lyrics-thuppakki-songs.json
Boys,Ale Ale Song Lyrics Boys,AR Rahman,Siddharth,Genelia,ale-ale-song-lyrics-boys.json
Goli Soda,All Your Beauty Lyrics Goli Soda Song Lyrics,SN Arunagiri,Vijay Vasanth,Chandhini,all-your-beauty-lyrics-goli-soda-song.json
Rum,Alladhe Siragiye Lyrics Rum,Anirudh,Anirudh,Sanchita Shetty,alladhe-siragiye-lyrics-rum.json
Kandhasamy,Allegra Allegra Song Lyrics Kanthaswamy,Devi Sri Prasad(DSP),Vikram,Shriya Saran,allegra-allegra-song-lyrics-kanthaswamy.json
Kaaviya Thalaivan,Alli Arjuna Lyrics Kaaviya Thalaivan Song Lyrics,AR Rahman,Siddharth,Prithviraj Sukumaran,alli-arjuna-lyrics-kaaviya-thalaivan.json
Chandi Veeran,Alunguraen Kulunguraen Lyrics Chandi Veeran Song Lyrics,N/A,Atharvaa,Anandhi,alunguraen-kulunguraen-lyrics-chandi.json
Ko,Amali Thumali Lyrics Ko Song Lyrics,Harrish Jeyaraj,Jiiva,Karthika Nair,amali-thumali-lyrics-ko-song-lyrics.json
Mundasupatti,Ambala Singam Lyrics Mundasupatti Song Lyrics,Sean Roldan,Vishnu,Nandita,ambala-singam-lyrics-mundasupatti-song.json
Ambikapathy,Ambikapathy Lyrics Ambikapathy Songs Lyrics,AR Rahman,Parthiban,Divya Madu,ambikapathy-lyrics-ambikapathy-songs.json
Velaiyilla Pattathari,Amma Amma Song Lyrics English Meaning,Anirudh,Dhanush,Amala Paul,amma-amma-english-translation-lyrics.json
Velaiyilla Pattathari,Amma Amma Ne Enga Amma  Song Lyrics in Tamil,Anirudh,Dhanush,Amala Paul,amma-amma-lyrics-in-tamil-velai-illa.json
Velaiyilla Pattathari,Amma Amma Lyrics Velaiyilla Pattathari Song Lyrics,Anirudh,Dhanush,Amala Paul,amma-amma-lyrics-velaiyilla-pattathari.json
Kagitha Kappal,Amma Appava Lyrics Kagitha Kappal,Nishant,Jaisiva,Meena Kumari,amma-appava-lyrics-kagitha-kappal.json
Desingu Raja,Ammadi Ammadi Lyrics Desingu Raja,D Imman,Vimal,Bindu Madhavi,ammadi-ammadi-lyrics-desingu-raja.json
Vellakkaradurai,Ammadi Un Azhagu Lyrics Vellakkara Durai,D Imman,Vikram Prabhu,Sri Divya,ammadi-un-azhagu-lyrics-vellakkara-durai.json
Mouna Guru,Anaamika Lyrics mouna guru songs lyrics,Thaman S,Arulnithi,Iniya,anaamika-lyrics-mouna-guru-songs-lyrics.json
Vaaranam Aayiram,Anal Mele Panithuli Song Lyrics Vaaranam Aayiram,Harrish Jeyaraj,Suriya,Sameera Reddy,anal-mele-panithuli-song-lyrics.json
NGK,Anbae Peranbae Song Meaning English,N/A,Suriya,Sai Pallavi,anbae-peranbae-song-meaning-english.json
Three Roses,Anbal Unnai Velvom Song Lyrics Three Roses,Karthik Raja,Ravi Krishna,Jyothirmayi,anbal-unnai-velvom-song-lyrics-three.json
Jeans,Anbe Anbe Kolladhe Lyrics Jeans,AR Rahman,Prashanth,Aishwarya Rai,anbe-anbe-kolladhe-lyrics-jeans.json
Darling,Anbe Anbe Lyrics Darling Song Lyrics,GV PrakashKumar,GV Prakash Kumar,Nikki Galrani,anbe-anbe-lyrics-darling-song-lyrics.json
Idhu Kathirvelan Kadhal,Anbe Anbe Lyrics Idhu Kathirvelan Kadhal Song Lyrics,Harrish Jeyaraj,Udhayanidhi Stalin,Nayanthara,anbe-anbe-lyrics-idhu-kathirvelan.json
Idhu Kathirvelan Kadhal,Anbe Anbe Lyrics in Tamil - Idhu Kathirvelan Kadhal,Harrish Jeyaraj,Udhayanidhi Stalin,Nayanthara,anbe-anbe-lyrics-in-tamil-idhu.json
Uyirodu Uyiraga,Anbe Anbe Ne En Pillai Song Lyrics Uyirodu Uyiraga,Vidyasagar,Ajith Kumar,Richa Pallod,anbe-anbe-ne-en-pillai-song-lyrics.json
N/A,Anbe Peranbu Lyrics in Tamil,Yuvan,,,anbe-anbin-peranbu-lyrics.json
Dhaam Dhoom,Anbe En Anbe Lyrics Dhaam Dhoom,Harrish Jeyaraj,Jayam Ravi,Kangana Ranaut,anbe-en-anbe-lyrics-dhaam-dhoom.json
NGK,Anbae Peranbae NGK Song Lyrics in Tamil,Yuvan,Suriya,Sai Pallavi,anbe-pranbe-ngk-lyrics-tamil.json
Minsara Kanavu,Anbendra mazhaiyile Song Lyrics Minsara Kanavu,AR Rahman,Prabhu Deva,Kajol,anbendra-mazhaiyile-song-lyrics-minsara.json
Leo,Anbenum Aayudham lyrics in Tamil,N/A,Vijay,Trisha,anbenum-leo.json
Vinnaithaandi Varuvaaaya,Anbil avan lyrics vinnaithaadi varuvaya song lyrics,AR Rahman,Silambarasan,Trisha,anbil-avan-lyrics-vinnaithaadi-varuvaya.json
Sigaram Thodu,Anbulla Appa Lyrics Sigaram Thodu Song Lyrics,D Imman,Vikram Prabhu,Monal Gajjar,anbulla-appa-lyrics-sigaram-thodu-song.json
Kadhal Solla Vandhen,Anbulla Sandhya Lyrics Kadhal Solla Vandhen lyrics,Yuvan,Balaiya,Meenakshi,anbulla-sandhya-lyrics-kadhal-solla.json
N/A,Anbullam Konda Ammavukku Lyrics Album,N/A,,,anbullam-konda-ammavukku-lyrics-album_31.json
Anniyan,Andangkaka Song Lyrics Anniyan,N/A,Vikram,Sadha,andangkaka-song-lyrics-anniyan.json
Bombay,Andha Arabic Kadaloram Lyrics Bombay,AR Rahman,Arvind Swamy,Manisha Koirala,andha-arabic-kadaloram-lyrics-bombay.json
N/A,Andha Aruvi Pola Chithha Song Lyrics,N/A,,,andha-aruvi-pola-chithha.json
Muran,Andhimantharai Lyrics Muran Song Lyrics,Sajan Madhav,Cheran,Prasanna,andhimantharai-lyrics-muran-song-lyrics.json
Irumbu Kudhirai,Angae Ippo Enna Seigiraai Lyrics Irumbu kudhirai song lyrics,GV PrakashKumar,Atharvaa,Priya Anand,angae-ippo-enna-seigiraai-lyrics-irumbu.json
Badri,Angel Vandhaale Lyrics Badri,Ramana Gogula,,,angel-vandhaale-lyrics-badri.json
Kalakalappu,Angelina Lyrics Kalakalappu Song Lyrics,Vijay Ebenezer,Vimal,Anjali,angelina-lyrics-kalakalappu-song-lyrics.json
N/A,Angey idi mulangudhu Song Lyrics Udumban,Ramji S Balan,,,angey-idi-mulangudhu-song-lyrics-udumban.json
Raja Rani,Angnyaade Lyrics Raja Rani Song Lyrics,GV PrakashKumar,Arya,Nayanthara,angnyaade-lyrics-raja-rani-song-lyrics.json
Thandavam,Anicham Poovazhagi Lyrics in Tamil Thandavam,GV PrakashKumar,Vikram,Anushka Shetty,anicham-poovazhagi-lyrics-in-tamil.json
Thandavam,Anicham Poovazhagi Lyrics Thandavam Songs Lyrics,GV PrakashKumar,Vikram,Anushka Shetty,anicham-poovazhagi-lyrics-thandavam.json
Vandhaan Vendraan,Anjana Anjana Lyrics Vandhaan Vendraan Song Lyrics,Thaman S,Jiiva,Taapsee Pannu,anjana-anjana-lyrics-vandhaan-vendraan.json
Thagararu,Anna Nadai Lyrics Thagararu Song Lyrics,Dharan Kumar,Arulnithi,Poorna,anna-nadai-lyrics-thagararu-song-lyrics.json
Haridas,Annaiyin Karuvil Lyrics Haridas Songs Lyrics,Vijay Antony,Kishore,Sneha,annaiyin-karuvil-lyrics-haridas-songs.json
Pattra,Annakili Lyrics Pattra Song Lyrics,Sri Krishna,Arulnithi,Ashna Zaveri,annakili-lyrics-pattra-song-lyrics.json
Thuppaki,Antartica Lyrics in Tamil Thuppaki Songs Lyrics,Harrish Jeyaraj,Vijay,Kajal Aggarwal,antartica-lyrics-in-tamil-thuppaki.json
Thuppaki,Antartica Song Lyrics Thuppakki Songs Lyrics,Harrish Jeyaraj,Vijay,Kajal Aggarwal,antartica-song-lyrics-thuppakki-songs.json
96,Anthaathi Nee Lyrics From 96 Movie,N/A,Vijay Sethupathi,Trisha,anthaathi-nee-lyrics-from-96-movie.json
96 Movie,Anthaathi 96 Song Lyrics English Meaning,N/A,Vijay Sethupathi,Trisha,anthathi-96-song-lyrics-english-meaning.json
96 Movie,Anthathi Lyrics From 96 Movie,N/A,Vijay Sethupathi,Trisha,anthathi-lyrics-from-96-movie.json
8 Thottakkal,Anthi Saayura Neram Lyrics 8 Thottakkal,Sundaramurthy KS,Vetri,Aparna Balamurali,anthi-saayura-neram-lyrics-8-thottakkal.json
Viswaroopam,Anu Vidhaiththa Boomiyile Lyrics in Tamil,Shankar-Eshaan-Loy,Kamal Haasan,Pooja Kumar,anu-vidhaiththa-boomiyile-lyrics-in.json
Viswaroopam,Anu Vidhaiththa Boomiyile Lyrics Viswarpoopam Songs Lyrics,Shankar-Eshaan-Loy,Kamal Haasan,Pooja Kumar,anu-vidhaiththa-boomiyile-lyrics.json
Inga Enna Solludhu,Appa Tucker Lyrics Inga Enna Solludhu Song Lyrics,Dharan Kumar,VTV Ganesh,Meera Jasmine,appa-tucker-lyrics-inga-enna-solludhu.json
Komban,Appappa Lyrics Komban Song Lyrics,GV PrakashKumar,Karthi,Lakshmi Menon,appappa-lyrics-komban-song-lyrics.json
Roja Koottam,Apple Penne Nee Yaaro Lyrics Roja Koottam,Bharadwaj,Sridhar,Bhoomika,apple-penne-nee-yaaro-lyrics-roja.json
N/A,Aranmanai Aranmanai Song Lyrics Aranmanai 2,Hip Hop Tamizha,,,aranmanai-aranmanai-song-lyrics.json
Endhiran,Arima Arima Lyrics Endhiran song lyrics,AR Rahman,Rajinikanth,Aishwarya Rai,arima-arima-lyrics-endhiran-song-lyrics.json
Kodi,Ariraro Lyrics Kodi Song Lyrics,Santhosh Narayanan,Dhanush,Trisha,ariraro-lyrics-kodi-song-lyrics.json
Yaadhumaagi Nindraai,Aritharam Poosi Song Lyrics Yaadhumaagi Nindraai,Ashwin Vinayagamoorthy,Aadhav Kannadasan,Riythvika,aritharam-poosi-song-lyrics-yaadhumaagi.json
Aai,Arjuna Arjuna Lyrics Aai,Srikanth Deva,,,arjuna-arjuna-lyrics-aai.json
Settai,Arjuna Arjuna Lyrics Settai Songs Lyrics,Thaman S,Arya,Hansika Motwani,arjuna-arjuna-lyrics-settai-songs-lyrics.json
Kutti Puli,Aruvaakkaaran Lyrics Kutti Puli Songs Lyrics,M Ghibran,Sasikumar,Lakshmi Menon,aruvaakkaaran-lyrics-kutti-puli-songs.json
Raattinam,Asathum Azhagu Lyrics Raattinam Songs Lyrics,Manu Ramesan,Ram,Karthika Nair,asathum-azhagu-lyrics-raattinam-songs.json
Nanban,Asku Laska Lyrics In Thanglish English Translation,Harrish Jeyaraj,Vijay,Ileana,asku-laska-lyrics-in-thanglish-english.json
Nanban,Asku Laska Lyrics Nanban Songs Lyrics,Harrish Jeyaraj,Vijay,Ileana,asku-laska-lyrics-nanban-songs-lyrics.json
Sketch,Atchi Putchi Lyrics Sketch,Thaman S,Vikram,Tamannah,atchi-putchi-lyrics-sketch.json
Meenkuzhambum Manpaanayum,Athe Nila Athe Nila Lyrics Meenkuzhambum Manpaanayum,D Imman,Prabhu,Kalabhavan Mani,athe-nila-athe-nila-lyrics.json
Isai,Atho Vanile Nila Lyrics Isai Song Lyrics,SJ Surya,SJ Suryah,Savitha Reddy,atho-vanile-nila-lyrics-isai-song-lyrics.json
Pokkiri Raja,Athuvutta Athuvutta Lyrics Pokkiri Raja Song Lyrics,D Imman,Jiiva,Hansika Motwani,athuvutta-athuvutta-lyrics-pokkiri-raja.json
Vaaranam Aayiram,Ava Enna Enna Thedi Vantha Anjala Song Lyrics,Harrish Jeyaraj,Suriya,Sameera Reddy,ava-enna-lyrics-vaaranam-aayiram.json
Kalakalappu,Ava Thirumbipaarthu Lyrics Kalakalappu Song Lyrics,Vijay Ebenezer,Vimal,Anjali,ava-thirumbipaarthu-lyrics-kalakalappu.json
Manithan(2016),Aval Lyrics Manithan Song Lyrics,Santhosh Narayanan,Udhayanidhi Stalin,Hansika Motwani,aval-lyrics-manithan-song-lyrics.json
Salim,Avala Nambithan Lyrics Salim Song Lyrics,N/A,Vijay Antony,Aksha Pardasany,avala-nambithan-lyrics-salim-song-lyrics.json
Avalukena,Avalukena‬ Lyrics Single by Anirudh English Meaning,N/A,,,avalukena-lyrics-single-by-anirudh.json
Achcham Yenbathu Madamaiyada,Avalum Naanum Lyrics Achcham Yenbathu Madamaiyada Song Lyrics,AR Rahman,Silambarasan,Manjima Mohan,avalum-naanum-lyrics-achcham-yenbathu.json
Inga Enna Solludhu,Avan Ivan Lyrics Inga Enna Solludhu Song Lyrics,Dharan Kumar,VTV Ganesh,Meera Jasmine,avan-ivan-lyrics-inga-enna-solludhu.json
Pandavar Bhoomi,Avaravar Vazhkaiyil Lyrics Pandavar Bhoomi,Bharadwaj,Rajkiran,Rajkiran,avaravar-vazhkaiyil-lyrics-pandavar.json
Paradesi,Avatha Paiyan Lyrics Paradesi Songs Lyrics,GV PrakashKumar,Atharvaa,Vedhika,avatha-paiyan-lyrics-paradesi-songs.json
Kumki,Ayayayayo Aananthamey Lyrics Kumki Song Lyrics,D Imman,Vikram Prabhu,Lakshmi Menon,ayayayayo-aananthamey-lyrics-kumki-song.json
