timestamp,host,level,method,path,status,message,raw
1770687764006,,info,,,,,"{""id"": ""k8lvv-1770687764006-4abc9ecfd940"", ""timestamp"": 1770687764006, ""deploymentId"": ""dpl_54gipYZ3NJPB9Y61UDQgqfJeQMyq"", ""projectId"": ""prj_6Eejnjz5gfq1apxkLbrObHi07FCt"", ""level"": ""info"", ""message"": """", ""source"": ""redirect"", ""domain"": ""www.tsonglyrics.com"", ""requestMethod"": ""GET"", ""requestPath"": ""/oru-vaanavillin-pakkathilae-lyrics_13.html"", ""responseStatusCode"": 308, ""environment"": ""production"", ""branch"": ""main"", ""cache"": """", ""traceId"": """"}"
1770687757392,,info,,,,[Hybrid] 🚀 Trying CDN: https://www.tsonglyrics.com/songs/kadhal-vaithu-song-lyrics-deepavali.json [NODE_ENV=production],"{""id"": ""bgrzz-1770687757392-8bdff4d041a7"", ""timestamp"": 1770687757392, ""deploymentId"": ""dpl_54gipYZ3NJPB9Y61UDQgqfJeQMyq"", ""projectId"": ""prj_6Eejnjz5gfq1apxkLbrObHi07FCt"", ""level"": ""info"", ""message"": ""[Hybrid] 🚀 Trying CDN: https://www.tsonglyrics.com/songs/kadhal-vaithu-song-lyrics-deepavali.json [NODE_ENV=production]"", ""source"": ""edge-middleware"", ""domain"": ""www.tsonglyrics.com"", ""requestMethod"": ""GET"", ""requestPath"": ""/kadhal-vaithu-song-lyrics-deepavali.html"", ""responseStatusCode"": 200, ""environment"": ""production"", ""branch"": ""main"", ""cache"": ""MISS"", ""traceId"": """"}"
1770687741822,,info,,,,[Hybrid] 🚀 Trying CDN: https://www.tsonglyrics.com/songs/uyire-un-uyirena-lyrics-zero-song-lyrics.json [NODE_ENV=production],"{""id"": ""q8sc4-1770687741822-7e9eb6cb674c"", ""timestamp"": 1770687741822, ""deploymentId"": ""dpl_54gipYZ3NJPB9Y61UDQgqfJeQMyq"", ""projectId"": ""prj_6Eejnjz5gfq1apxkLbrObHi07FCt"", ""level"": ""info"", ""message"": ""[Hybrid] 🚀 Trying CDN: https://www.tsonglyrics.com/songs/uyire-un-uyirena-lyrics-zero-song-lyrics.json [NODE_ENV=production]"", ""source"": ""edge-middleware"", ""domain"": ""www.tsonglyrics.com"", ""requestMethod"": ""GET"", ""requestPath"": ""/uyire-un-uyirena-lyrics-zero-song-lyrics.html"", ""responseStatusCode"": 200, ""environment"": ""production"", ""branch"": ""main"", ""cache"": ""MISS"", ""traceId"": """"}"
1770687741228,,info,,,,,"{""id"": ""v7mzl-1770687741228-858bfa52e812"", ""timestamp"": 1770687741228, ""deploymentId"": ""dpl_54gipYZ3NJPB9Y61UDQgqfJeQMyq"", ""projectId"": ""prj_6Eejnjz5gfq1apxkLbrObHi07FCt"", ""level"": ""info"", ""message"": """", ""source"": ""redirect"", ""domain"": ""www.tsonglyrics.com"", ""requestMethod"": ""GET"", ""requestPath"": ""/oru-vaanavillin-pakkathilae-lyrics_13.html"", ""responseStatusCode"": 308, ""environment"": ""production"", ""branch"": ""main"", ""cache"": """", ""traceId"": """"}"
1770687735643,,info,,,,"Raw slug received: ""viswaroopam-songs-lyrics-tracklist""","{""id"": ""f5x9r-1770687735643-be5fa8adc75c"", ""timestamp"": 1770687735643, ""deploymentId"": ""dpl_54gipYZ3NJPB9Y61UDQgqfJeQMyq"", ""projectId"": ""prj_6Eejnjz5gfq1apxkLbrObHi07FCt"", ""level"": ""info"", ""message"": ""Raw slug received: \""viswaroopam-songs-lyrics-tracklist\"""", ""source"": ""edge-middleware"", ""domain"": ""www.tsonglyrics.com"", ""requestMethod"": ""GET"", ""requestPath"": ""/viswaroopam-songs-lyrics-tracklist.html"", ""responseStatusCode"": 200, ""environment"": ""production"", ""branch"": ""main"", ""cache"": ""MISS"", ""traceId"": """"}"
1770687733009,,info,,,,❌ Cache MISS for: https://tsonglyricsapp.blogspot.com/feeds/posts/default?alt=json&q=thannambikkai%20unakkirunthaal%20lyrics%20pandhaya%20pura&max-results=100 (status: UNKNOWN),"{""id"": ""vbrhl-1770687733009-1c660166f71f"", ""timestamp"": 1770687733009, ""deploymentId"": ""dpl_54gipYZ3NJPB9Y61UDQgqfJeQMyq"", ""projectId"": ""prj_6Eejnjz5gfq1apxkLbrObHi07FCt"", ""level"": ""info"", ""message"": ""❌ Cache MISS for: https://tsonglyricsapp.blogspot.com/feeds/posts/default?alt=json&q=thannambikkai%20unakkirunthaal%20lyrics%20pandhaya%20pura&max-results=100 (status: UNKNOWN)"", ""source"": ""edge-middleware"", ""domain"": ""www.tsonglyrics.com"", ""requestMethod"": ""GET"", ""requestPath"": ""/thannambikkai-unakkirunthaal-lyrics-pandhaya-pura.html"", ""responseStatusCode"": 200, ""environment"": ""production"", ""branch"": ""main"", ""cache"": ""MISS"", ""traceId"": """"}"
1770687713656,,info,,,,[Hybrid] 🚀 Trying CDN: https://www.tsonglyrics.com/songs/senthoora-song-lyrics-english-meaning.json [NODE_ENV=production],"{""id"": ""vc9wr-1770687713656-d1d8871b15b2"", ""timestamp"": 1770687713656, ""deploymentId"": ""dpl_54gipYZ3NJPB9Y61UDQgqfJeQMyq"", ""projectId"": ""prj_6Eejnjz5gfq1apxkLbrObHi07FCt"", ""level"": ""info"", ""message"": ""[Hybrid] 🚀 Trying CDN: https://www.tsonglyrics.com/songs/senthoora-song-lyrics-english-meaning.json [NODE_ENV=production]"", ""source"": ""edge-middleware"", ""domain"": ""www.tsonglyrics.com"", ""requestMethod"": ""GET"", ""requestPath"": ""/senthoora-song-lyrics-english-meaning.html"", ""responseStatusCode"": 200, ""environment"": ""production"", ""branch"": ""main"", ""cache"": ""MISS"", ""traceId"": """"}"
1770687709909,,info,,,,[Hybrid] 🚀 Trying CDN: https://www.tsonglyrics.com/songs/adi-aasa-machan-song-lyrics-kummi-paattu.json [NODE_ENV=production],"{""id"": ""vqrch-1770687709909-74ee414d728d"", ""timestamp"": 1770687709909, ""deploymentId"": ""dpl_54gipYZ3NJPB9Y61UDQgqfJeQMyq"", ""projectId"": ""prj_6Eejnjz5gfq1apxkLbrObHi07FCt"", ""level"": ""info"", ""message"": ""[Hybrid] 🚀 Trying CDN: https://www.tsonglyrics.com/songs/adi-aasa-machan-song-lyrics-kummi-paattu.json [NODE_ENV=production]"", ""source"": ""serverless"", ""domain"": ""www.tsonglyrics.com"", ""requestMethod"": ""GET"", ""requestPath"": ""/adi-aasa-machan-song-lyrics-kummi-paattu.html"", ""responseStatusCode"": 200, ""environment"": ""production"", ""branch"": ""main"", ""cache"": ""MISS"", ""traceId"": """"}"
1770687705070,,info,,,,,"{""id"": ""nvsdl-1770687705070-861b6ab14f02"", ""timestamp"": 1770687705070, ""deploymentId"": ""dpl_54gipYZ3NJPB9Y61UDQgqfJeQMyq"", ""projectId"": ""prj_6Eejnjz5gfq1apxkLbrObHi07FCt"", ""level"": ""info"", ""message"": """", ""source"": ""edge-middleware"", ""domain"": ""www.tsonglyrics.com"", ""requestMethod"": ""GET"", ""requestPath"": ""/tamil-song-lyrics-in-english.html"", ""responseStatusCode"": 200, ""environment"": ""production"", ""branch"": ""main"", ""cache"": ""HIT"", ""traceId"": """"}"
1770687700446,,info,,,,,"{""id"": ""chvkw-1770687700446-cbe5918abf94"", ""timestamp"": 1770687700446, ""deploymentId"": ""dpl_54gipYZ3NJPB9Y61UDQgqfJeQMyq"", ""projectId"": ""prj_6Eejnjz5gfq1apxkLbrObHi07FCt"", ""level"": ""info"", ""message"": """", ""source"": ""edge-middleware"", ""domain"": ""www.tsonglyrics.com"", ""requestMethod"": ""GET"", ""requestPath"": ""/viswaroopam-songs-lyrics-tracklist.html"", ""responseStatusCode"": 200, ""environment"": ""production"", ""branch"": ""main"", ""cache"": ""HIT"", ""traceId"": """"}"
